# French source|English|Deutsch|Español|Português
Prélèvement actuel|Current sample|Aktuelle Farbprobe|Muestra actual|Amostra atual
IMAGE → SPRAYS|IMAGE → SPRAYS|BILD → SPRÜHFARBEN|IMAGEN → AEROSOLES|IMAGEM → SPRAYS
Votre image, votre palette de sprays|Your image, your spray palette|Dein Bild, deine Sprühfarbenpalette|Tu imagen, tu paleta de aerosoles|A tua imagem, a tua paleta de sprays
Importez une image, choisissez vos gammes et obtenez les références à acheter.|Import an image, choose your ranges and get the references to buy.|Importiere ein Bild, wähle deine Serien und erhalte die benötigten Farbreferenzen.|Importa una imagen, elige tus gamas y obtén las referencias que comprar.|Importa uma imagem, escolhe as gamas e obtém as referências a comprar.
Analyse locale · aucune image envoyée|Local analysis · no image uploaded|Lokale Analyse · kein Bild wird hochgeladen|Análisis local · no se envían imágenes|Análise local · nenhuma imagem enviada
1. Gammes autorisées|1. Allowed ranges|1. Zugelassene Serien|1. Gamas permitidas|1. Gamas permitidas
Vous pouvez mélanger plusieurs marques.|You can mix several brands.|Du kannst mehrere Marken kombinieren.|Puedes combinar varias marcas.|Podes combinar várias marcas.
2. Nombre maximum de sprays|2. Maximum number of sprays|2. Maximale Anzahl an Sprühfarben|2. Número máximo de aerosoles|2. Número máximo de sprays
Préserver les petites touches de couleur|Preserve small color accents|Kleine Farbakzente erhalten|Conservar los pequeños toques de color|Preservar os pequenos toques de cor
Les nuances proches sont regroupées. Le résultat peut utiliser moins de références.|Similar shades are grouped. The result may use fewer references.|Ähnliche Farbtöne werden zusammengefasst. Das Ergebnis kann weniger Referenzen enthalten.|Los tonos parecidos se agrupan. El resultado puede usar menos referencias.|Os tons semelhantes são agrupados. O resultado pode usar menos referências.
Importez une image ci-dessous pour lancer l’analyse.|Import an image below to start the analysis.|Importiere unten ein Bild, um die Analyse zu starten.|Importa una imagen abajo para iniciar el análisis.|Importa uma imagem abaixo para iniciar a análise.
PALETTE D’ACHAT|SHOPPING PALETTE|EINKAUFSPALETTE|PALETA DE COMPRA|PALETA DE COMPRA
Ajouter la sélection à ma liste|Add selection to my list|Auswahl zu meiner Liste hinzufügen|Añadir selección a mi lista|Adicionar a seleção à minha lista
Image originale|Original image|Originalbild|Imagen original|Imagem original
Image reproduite avec les couleurs des sprays sélectionnés|Image reproduced with the selected spray colors|Bild mit den ausgewählten Sprühfarben|Imagen reproducida con los colores de los aerosoles seleccionados|Imagem reproduzida com as cores dos sprays selecionados
Aperçu avec les sprays sélectionnés. Les couleurs réelles dépendent du nuancier et du support.|Preview with the selected sprays. Actual colors depend on the color chart and surface.|Vorschau mit den ausgewählten Sprühfarben. Die tatsächlichen Farben hängen von Farbkarte und Untergrund ab.|Vista previa con los aerosoles seleccionados. Los colores reales dependen de la carta y de la superficie.|Pré-visualização com os sprays selecionados. As cores reais dependem do catálogo e da superfície.
La part de l’image aide à repérer les couleurs dominantes. Elle ne détermine pas le nombre de bombes nécessaire.|Image coverage helps identify dominant colors. It does not determine the number of cans needed.|Der Bildanteil zeigt die dominanten Farben. Er bestimmt nicht die benötigte Anzahl an Dosen.|La proporción de la imagen ayuda a identificar los colores dominantes. No determina la cantidad de botes necesarios.|A proporção da imagem ajuda a identificar as cores dominantes. Não determina a quantidade de latas necessária.
Ajout d’une unité par référence absente de votre liste. Ajustez ensuite les quantités selon votre mur et vos couches.|Adds one unit per reference missing from your list. Then adjust quantities for your wall and coats.|Fügt eine Dose je noch fehlender Referenz hinzu. Passe die Mengen anschließend an Wand und Farbschichten an.|Se añade una unidad por referencia que falte en tu lista. Ajusta después las cantidades según el muro y las capas.|É adicionada uma unidade por referência em falta na lista. Ajusta depois as quantidades ao muro e às camadas.
Analyse des couleurs et recherche des sprays…|Analyzing colors and finding sprays…|Farben werden analysiert und Sprühfarben gesucht…|Analizando colores y buscando aerosoles…|A analisar cores e a procurar sprays…
{0} références pour votre image|{0} references for your image|{0} Referenzen für dein Bild|{0} referencias para tu imagen|{0} referências para a tua imagem
Correspondance approximative|Approximate match|Ungefähre Übereinstimmung|Coincidencia aproximada|Correspondência aproximada
Palette prête : {0} sprays sélectionnés.{1}|Palette ready: {0} sprays selected.{1}|Palette fertig: {0} Sprühfarben ausgewählt.{1}|Paleta lista: {0} aerosoles seleccionados.{1}|Paleta pronta: {0} sprays selecionados.{1}
